Ссылка,Наименование,Категории,Адрес,Телефон,Часы работы
/avtoservisy-avtotehcentry/olimp-avto-na-volgogradke.htm,Мос-олимп,"
                Автосервисы,                 Обработка стекол - антидождь            ","
              Ташкентская ул., 28, стр. 1, Москва
            ",+7 (495) 514-38-22,"ежедневно, 09:00–20:00"
/avtoservisy-avtotehcentry/tehnicheskij-tsentr-arkservice.htm,Арк Сервис,"
                Сервисы по ремонту автомобилей,                 Диагностика автомобиля            ","
              Азовская ул., 28Б, стр. 4, Москва
            ",+7 (495) 720-35-13,"ежедневно, 10:00–21:00"
/remont-dvigatelei/dizel-fors---lider-v-sfere-prodazhi-i-remonta-forsunok-caterpillar-perkins-heui-i-dr.htm,Дизель-форс,"
                Автомастерские,                 Диагностика авто            ","
              Волгоградский просп., 128, корп. 5
            ","+7 (499) 322-91-11, +7 (7172) 78-81-60",пн-пт 09:00–18:00
/avtoservisy-avtotehcentry/tehtsentr-avtopilot5.htm,Автопилот,"
                Станции технического обслуживания автомобилей,                 Автодиагностика            ","
              ул. Речников, 19
            ",+7 (495) 120-20-45,"ежедневно, 08:00–21:00"
/zamena-akpp/kia-remont-lider.htm,Киа Ремонт Лидер,"
                Автотехцентры,                 Проверка автомобиля            ","
              Можайское ш., 159 к 9, Москва, Россия, 121374
            ",+7 (495) 649-82-18,вс 10:00-18:00; пн-сб 10:00-20:00
/avtoservisy-avtotehcentry/ajc-motors.htm,Эйджиси Моторс,"
                СТО,                 Компьютерная диагностика автомобиля            ","
              Новоостаповская ул., 6А, стр. 4, Москва
            ",+7 (495) 414-46-28,пн-пт 09:00–19:00
/avtoservisy-avtotehcentry/fordtranzitservis.htm,Форд Транзит Сервис,"
                Автосервисы и автотехцентры,                 Диагностика автоэлектрики            ","
              Рязанский просп., 4, стр. 1, Москва
            ","+7 (905) 767-77-11, +7 (905) 769-77-11",пн-пт 09:00–19:00
/avtoservisy-avtotehcentry/s-avtomasterru.htm,1avto-s,"
                Автосервисы,                 Компьютерная диагностика авто            ","
              Дубнинская ул., 75, стр. 15, Москва
            ",+7 (926) 696-49-44,пн-сб 10:00–20:00; вс 10:00–15:00
/avtoservisy-avtotehcentry/tehtsentr-avtopilot-ploschad-ilicha.htm,Автопилот,"
                Сервисы по ремонту автомобилей,                 Услуги автоэлектрика            ","
              Смирновская ул., 2, стр. 1
            ",+7 (495) 120-20-45,"ежедневно, 08:00–21:00"
/avtoservisy-avtotehcentry/a1-motors1.htm,A1 моторс,"
                Автомастерские,                 Выездная диагностика автомобиля            ","
              1-я Дубровская ул., 13А, стр. 4, Москва
            ","+7 (495) 120-15-38, +7 (925) 001-08-57, +7 (499) 110-42-89, +7 (499) 110-42-87","ежедневно, 09:00–21:00"
/org/ruskomavto1.htm,РусКомАвто,"
                Станции технического обслуживания автомобилей,                 Выездная проверка автомобиля            ","
              ул. Подольских Курсантов, 32, Москва
            ","+7 (903) 163-70-00, +7 (968) 320-15-97, +7 (903) 242-13-42, +7 (966) 030-25-30",пн-пт 09:00–18:00
/avtorazborki/avtorazborka-shop.htm,Европа-Авто,"
                Автотехцентры,                 Автодиагностика электрики            ","
              6-я Радиальная ул., 30, стр. 22
            ",8 (800) 550-70-64,"пн-пт 10:00–20:00; сб,вс 10:00–18:00"
